,Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
365,Male,11.6,No,Rural,95.8,Primary,71.8
366,Male,12.9,No,Urban,60.3,Primary,67.3
367,Male,10.0,Yes,Urban,87.6,Tertiary,89.4
368,Female,2.9,No,Rural,53.5,none,30.4
369,Female,11.1,Yes,Urban,70.3,Primary,89.9
370,Female,11.2,No,Urban,79.9,Secondary,75.9
371,Male,8.3,Yes,Urban,54.5,Secondary,69.9
372,Female,7.9,No,Urban,97.1,Secondary,70.4
373,Male,16.0,No,Urban,51.2,Primary,87.5
374,Male,6.4,Yes,Urban,52.6,Primary,55.5
375,Female,9.8,No,Rural,56.9,Secondary,62.3
376,Female,12.5,No,Urban,87.2,Tertiary,83.7
377,Female,5.1,No,Urban,70.0,Tertiary,49.0
378,Male,8.6,No,Urban,77.7,Tertiary,70.8
379,Female,12.0,No,Urban,79.5,Secondary,80.2
380,Female,6.6,Yes,Urban,85.0,Primary,73.8
381,Male,5.6,No,Rural,91.1,Secondary,54.0
382,Female,14.5,Yes,Rural,61.1,Tertiary,93.7
383,Male,12.2,Yes,Rural,79.8,Primary,82.6
384,Female,2.0,Yes,Urban,73.8,none,51.4
385,Female,7.9,No,Rural,65.7,Primary,49.3
386,Male,16.0,No,Urban,80.9,Secondary,83.5
387,Male,4.1,No,Urban,74.3,Secondary,46.1
388,Female,14.7,Yes,Rural,79.4,none,92.2
389,Female,10.7,No,Urban,73.1,Secondary,75.6
390,Male,9.4,No,Rural,75.4,Primary,63.6
391,Female,3.1,No,Rural,56.0,Secondary,31.7
392,Female,10.8,No,Urban,92.3,Secondary,78.4
393,Female,8.9,Yes,Urban,53.0,Secondary,76.1
394,Female,12.7,No,Rural,79.9,Secondary,71.1
395,Female,10.7,Yes,Urban,69.9,none,86.7
396,Female,8.7,Yes,Urban,59.9,Primary,82.2
397,Male,14.9,No,Urban,72.1,Secondary,83.9
398,Male,9.0,No,Urban,71.5,Secondary,56.2
399,Female,12.0,No,Urban,78.2,Tertiary,73.8
400,Male,15.1,No,Urban,61.2,Tertiary,89.8
401,Female,9.1,No,Rural,85.4,Secondary,63.2
402,Male,3.7,Yes,Urban,92.1,Secondary,66.4
403,Male,14.3,No,Urban,84.9,none,88.6
404,Female,8.2,No,Urban,92.8,Secondary,71.4
405,Female,12.5,No,Urban,74.9,Secondary,79.5
406,Female,8.2,Yes,Urban,50.1,Secondary,77.8
407,Female,7.2,No,Rural,79.6,Tertiary,60.3
408,Female,8.4,Yes,Rural,99.3,Tertiary,84.1
409,Male,7.0,Yes,Urban,66.0,Primary,71.7
410,Female,5.9,No,Urban,99.8,Primary,60.2
411,Female,10.9,No,Rural,57.9,Secondary,76.3
412,Female,7.9,No,Rural,52.6,Secondary,50.4
413,Male,16.0,Yes,Urban,66.6,Secondary,100.0
414,Male,6.1,No,Urban,68.8,none,53.9
415,Female,16.0,Yes,Urban,70.9,Secondary,100.0
416,Female,4.9,Yes,Urban,76.7,Tertiary,61.0
417,Male,10.6,Yes,Rural,68.1,Secondary,90.2
418,Female,12.3,Yes,Rural,91.5,Tertiary,100.0
419,Female,13.3,No,Rural,62.4,Secondary,78.8
420,Female,7.1,Yes,Urban,79.6,Secondary,76.5
421,Male,7.1,No,Rural,83.3,Tertiary,57.5
422,Male,7.8,No,Rural,68.7,Secondary,52.4
423,Male,8.3,No,Rural,60.3,Tertiary,57.4
424,Female,4.6,Yes,Rural,90.0,Primary,55.0
425,Male,10.9,No,Urban,67.7,Primary,66.9
426,Male,5.3,Yes,Urban,62.9,Primary,56.9
427,Male,9.2,No,Rural,88.1,Secondary,68.6
428,Male,7.3,Yes,Rural,71.4,Secondary,76.0
429,Male,10.5,No,Rural,88.4,Tertiary,77.0
430,Male,8.0,No,Urban,87.0,Secondary,67.8
431,Female,14.2,Yes,Urban,50.9,Secondary,95.3
432,Female,10.0,No,Urban,86.3,Secondary,72.2
433,Female,6.2,No,Urban,60.3,Secondary,48.9
434,Male,10.2,No,Rural,82.4,Secondary,63.4
435,Male,13.8,No,Rural,66.0,Secondary,77.8
436,Female,15.7,Yes,Urban,76.4,Secondary,100.0
437,Female,12.8,No,Urban,77.3,Secondary,85.1
438,Female,9.8,Yes,Rural,92.2,none,87.0
439,Male,10.0,No,Urban,72.0,Primary,69.7
440,Female,9.7,Yes,Urban,50.5,Secondary,73.1
441,Male,11.4,No,Urban,87.1,none,66.0
442,Female,14.6,No,Urban,79.4,Secondary,93.9
443,Male,5.0,No,Urban,89.1,Tertiary,50.8
444,Female,12.4,Yes,Urban,69.0,Secondary,95.0
445,Female,2.5,No,Urban,92.7,Tertiary,43.5
446,Female,8.8,No,Urban,98.5,Primary,75.1
447,Male,7.8,No,Rural,57.2,Secondary,53.2
448,Female,4.7,No,Urban,97.1,Tertiary,52.3
449,Male,10.1,Yes,Urban,72.7,Secondary,85.1
450,Male,10.3,No,Urban,88.1,Secondary,78.3
451,Female,14.7,No,Urban,50.6,Tertiary,72.6
452,Male,10.1,No,Rural,87.9,Secondary,70.1
453,Female,12.2,No,Urban,65.6,none,74.0
454,Male,7.3,No,Rural,85.6,Tertiary,66.6
455,Male,8.5,No,Urban,57.8,Secondary,63.7
456,Female,9.9,No,Urban,90.2,Primary,76.9
457,Male,8.8,Yes,Urban,61.0,Tertiary,77.8
458,Male,5.4,Yes,Rural,73.6,Secondary,64.5
459,Male,11.2,No,Rural,51.8,Primary,63.0
460,Male,5.5,No,Rural,84.0,Primary,52.8
461,Male,3.9,No,Urban,54.8,Secondary,41.1
462,Male,14.4,Yes,Urban,85.0,Tertiary,100.0
463,Male,3.1,No,Rural,70.7,Secondary,42.0
464,Male,10.7,No,Urban,72.9,Tertiary,68.5
465,Male,16.0,No,Urban,59.7,Secondary,90.8
466,Female,13.3,Yes,Urban,83.6,Secondary,96.6
467,Male,7.5,No,Rural,53.8,none,46.2
468,Female,7.6,No,Urban,97.9,Secondary,57.7
469,Female,11.0,No,Rural,79.1,none,62.7
470,Male,10.4,Yes,Rural,58.1,Tertiary,81.8
471,Female,11.4,No,Urban,81.7,Secondary,79.5
472,Female,12.8,No,Rural,74.3,Secondary,71.0
473,Female,10.1,No,Rural,87.0,Tertiary,76.3
474,Male,9.7,Yes,Rural,80.7,Secondary,87.7
475,Male,7.5,No,Urban,52.8,Primary,50.2
476,Female,9.3,Yes,Rural,94.2,Tertiary,73.3
477,Female,6.7,Yes,Rural,98.0,Primary,75.2
478,Female,10.8,No,Rural,85.7,Primary,70.7
479,Female,9.1,No,Rural,50.2,Secondary,52.8
480,Male,14.2,Yes,Urban,69.3,Secondary,95.6
481,Female,7.0,No,Urban,85.6,Tertiary,70.8
482,Male,3.9,No,Urban,96.9,Secondary,45.9
483,Female,11.4,No,Urban,84.7,Tertiary,87.3
484,Male,11.4,No,Rural,68.0,Tertiary,73.3
485,Male,15.3,No,Urban,64.3,Secondary,96.5
486,Male,13.0,No,Urban,52.4,none,66.6
487,Male,5.2,No,Rural,82.4,Primary,49.2
488,Female,11.5,No,Urban,68.7,Tertiary,75.6
489,Female,10.4,No,Rural,82.2,Tertiary,71.3
490,Female,13.7,No,Urban,97.6,Secondary,95.7
