Entry ID,travelerNames,gender,birthDate,deathDate,birthPlace,deathPlace,parents,sources,eventsIndex,mentionedNamesWithEntryID,mentionedNamesWithNoEntryID,IDmatchesForMentionedNamesWithEntryID,entryOrigin,originEntryID,originEntryName
18.2,Mary Anne Acton,Female,1786,1873,,,Joseph Edward Acton,,47,Joseph Edward Acton;John Francis Edward Acton;Ferdinand Richard Edward Acton;Charles Januarius Edward Acton;Elizabeth Acton;Robert Fagan,,"18.1,18,18.3,18.4,18.5,1652",Extracted from narrative,18,
18.3,Ferdinand Richard Edward Acton,Male,1801,1837,,,John Francis Edward Acton;Mary Anne Acton,,48,Joseph Edward Acton;Robert Fagan;Mary Anne Acton;Charles Januarius Edward Acton;Elizabeth Acton;John Francis Edward Acton,,"18.1,1652,18.2,18.4,18.5,18",Extracted from narrative,18,
18.4,Charles Januarius Edward Acton,Male,1803,1847,Naples,Naples,John Francis Edward Acton;Mary Anne Acton,,,Joseph Edward Acton;Robert Fagan;Mary Anne Acton;Ferdinand Richard Edward Acton;Elizabeth Acton;John Francis Edward Acton,,"18.2,1652,18.2,18.3,18.5,18",Extracted from narrative,18,
18.5,Elizabeth Acton,Female,1806,1847,,,"John Francis Edward Acton,;Mary Anne Acton",,49,Joseph Edward Acton;Robert Fagan;Mary Anne Acton;Ferdinand Richard Edward Acton;Charles Januarius Edward Acton;John Francis Edward Acton,,"18.1,1652,18.2,18.3,18.4,18",Extracted from narrative,18,
19,Dr Robert Adair,Male,1716,1790,Ireland,,,"ASV IS 758-781,Michaelis 1882,Montaiglon,Wal.Corr.","50,51,52,53,54,55,56",Dr Richard Jebb;Duke of Gloucester;Duchess of Gloucester;Horace Walpole;Richard Payne Knight;Townley,"George III, King of the United Kingdom, previously Prince of Wales;Pius VI, Pope","2664,1968,4951,4974,2804,4804",From the Dictionary,,
20,William Adair,Male,,,,,,ASV IS 758-781,,William Bagnell;John Kelly,Francesco Grinerl,"176,2737",From the Dictionary,,
21,James Adam,Male,1732,1794,,,"William Adam, architect of Edinburgh","AVR SA,Fleming, Adam,Martin jnl. MSS,Salmon 1990","57,58","Robert Adam;Gen. William Graeme;George Richardson;Lady Mary Wortley Montagu;Ignazio Hugford;Abbé Grant;Thomas Pitt;James Martin;James Gray;John Ker, 3rd Duke of Roxburghe;Sir Francis Haskins, 3rd Bt. Eyles-Styles","Domenico Cunego;Santini;Antonio Zucchi;Clérisseau;Francesco Zuccarelli;Giuseppe Sacco;Francesco Algarotti;Agostino Scara;Piranesi;Luigi Vanvitelli;Cardinal Albani;Countess Cheroffini;Natoire;Batoni;Bartolozzi;George III, King of the United Kingdom, previously Prince of Wales;William Adam","23,2041,4077,3395,2566,2065,3889,3208,2079,4166,1647",From the Dictionary,,
22,John Adam,Male,,,,,,"ASV IS 758-781,Gazz.Tosc.",,,,,From the Dictionary,,
23,Robert Adam,Male,1728,1792,,,"William Adam, architect of Edinburgh","Fleming, Adam","59,60,61,62,63,64,65","John Hope, 2nd Earl of Hopetoun;Charles Hope-Weir;John Birtles;Ignazio Hugford;Joseph Wilton;Charles Hotham;Duke of Bridgewater;Robert Wood;Abbé Grant;Allan Ramsay;William Chambers;William Stanhope;Burlington;Lord Elgin;Lord Rosebery;Miss Diana Molyneux;Dr James Murray;Gavin Hamilton;James Adam;Horace Mann;John Murray;Joseph Smith;Lady Mary Wortley Montagu;William Graeme of Bucklyvie;Stuart;Revett;Christopher Stonor;Robert Mylne;William Mylne;Francis Hastings, 10th Earl of Huntingdon;Dr Grierson;Dr Irwin;Donald;James 'Athenian' Stuart;Nicholas Revett","Stosch;Clérisseau;Camillo Paderni;Laurent Pêcheux;Cardinal Albani;Countess Cheroffini;Piranesi;Desgodetz;Palladio;Agostino Brunias;Francesco Algarotti;Balbi;Jean-Baptiste Lallemand;Laurent-Benoit Dewez;Torelli;Count Rosenberg, Austrian ambassador at Venice","2507,2513,429,2566,5170,2530,577,5206,2065,4027,881,4499,707,1586,4146,3373,3494,2207,21,3169,3497,4417,3395,2041,898,4065,4563,3513,3514,2588,2122,2630,23.1,4610,4065",From the Dictionary,,
23.1,Donald ,Male,,,,,,,66,Robert Adam,Clérisseau;Agostino Brunias;Laurent-Benoit Dewez,23,Extracted from narrative,23,
24,C. Adams,Male,,,,,,Attingham MSS,,Anna Berwick,,401,From the Dictionary,,
25,Edmond Adams,Male,,,,,,"ASN E 681-4,AST CE,Pembroke Papers 1",67,Warrington;Valline,,"5001,4904",From the Dictionary,,
26,Lady Mary Adams,Female,,,,,,ASV IS 758-781,,Charles Sackville;Mrs Bailey,,"4193,183",From the Dictionary,,
27,Adams,Male,,,,,,"ASV IS 758-781,AVR SA",68,Robert Mylne;Thomas Martyn;John Strange;Leveson Vernon;Mrs Adams;First Son of Adams;Second Son of Adams;Third Son of Adams,,"3513,3215,4584,4921,27.1,27.2,27.3,27.4",From the Dictionary,,
27.1,Mrs Adams,Female,,,,,,,69,Adams;First Son of Adams;Second Son of Adams;Third Son of Adams,,"27,27.2,27.3,27.4",Extracted from narrative,27,
27.2,First Son of Adams,Male,,,,,Adams;Mrs Adams,,,Adams;Mrs Adams;Second Son of Adams;Third Son of Adams,,"27,27.1,27.3,27.4",Extracted from narrative,27,
27.3,Second Son of Adams,Male,,,,,Adams;Mrs Adams,,,Adams;Mrs Adams;First Son of Adams;Third Son of Adams,,"27,27.1,27.2,27.4",Extracted from narrative,27,
27.4,Third Son of Adams,Male,,,,,Adams;Mrs Adams,,,Adams;Mrs Adams;First Son of Adams;Second Son of Adams,,"27,27.1,27.2,27.3",Extracted from narrative,27,
28,Andrew Adamson,Male,,,,,,,,Dudley Long,,3014,From the Dictionary,,
29,Joseph Addison,Male,1672,1719,,,"Lancelot Addison, Dean of Lichfield","Addison Letters,Brown 1921,Shrewsbury Jnl.,Spence Letters,Wal.Corr.","70,71,72,73,74,75,76,77,78",George Dashwood;Edward Wortley Montagu;Joseph Spence;Thomas Dereham;Duke of Shrewsbury;Shuttleworth;Horace Walpole,"Ficoroni;William III, King of England;Henry Fielding","1304,3390,4469,1365,4350,4355,4974",From the Dictionary,,
30,William Adey,Male,,,,,,"Coutts ledgers,Gazz.Tosc.,Leghorn Inscr.,Prato MSS",79,Joseph Porter;George Blay,"Mary Adey;Peter Leopold, Grand Duke of Tuscany 1765-1790","3933,464",From the Dictionary,,
31,J. Affleck,Male,,,,,,Humphry corr. MSS,,Ozias Humphry,,2579,From the Dictionary,,
32,Henry Welbore Agar,Male,1761,1836,,,"James Agar of Gowran Castle, co.Kilkenny, who was cr. B. Clifden [I] 1776, and Vct. Clifden [I] 1781","HMC Rutland,Porter MSS,Watkins, Letters","80,81,82,83,84,85",Thomas Jenkins;John Strange;Gavin Hamilton;Thomas Watkins,,"2680,4584,2207,5009",From the Dictionary,,
33,Agus,Male,,,,,,"Burney, Tour",86,,Pietro Nardini,,From the Dictionary,,
34,John Aikman,Male,1691,1770,,,Thomas Aikman of Broomhilton,Forbes MSS,,Anne Forbes;Abbé Grant;Gavin Hamilton;John Aikman;William Aikman,,"1766,2065,2207,35,37",From the Dictionary,,
35,John Aikman,Male,1679,1752,,,"John Aikman, advocate of Cairnie, Angus","Abercairny MSS,ASF SE 2300,Leghorn Inscr.,Skinner, Scots in Italy",87,Samuel Winder;William Aikman;Burrington Goldsworthy;Francis Harriman;Henry Ragueneau;Samuel Provan;Thomas Winder;Marishal,Agostino Masucci,"5173.1,37,1990,2266,4022,3994,5173.2,3193",From the Dictionary,,
36,William Aikman,Male,1682,1731,,,"William Aikman, advocate of Cairnie, Angus","Clerk of Penicuik MSS,Forbes MSS,Spence Anecdotes","88,89",4th Earl of Manchester;Henry Newton;John Talman;William Kent;John Aikman,"Maratti;John Medina;Cosimo III, Grand Duke of Tuscany;Sebastiano Bianchi","3158,3561,4678,2754,35",From the Dictionary,,
37,William Aikman,Male,1695,1784,,,Thomas Aikman of Broomhilton,"Brettingham 1983,Drummond, Travels,Fleming, Adam,Skinner, Scots in Italy","90,91",John Aikman;Cosmo Alexander;Matthew Brettingham;Robert Adam;Anne Forbes;Alexander Drummond;John Aikman,,"35,45,565,23,1766,1483,34",From the Dictionary,,
40,"Louise Maximiliane Stolberg-Gedern, Countess of Albany",Female,1752,1824,,,,,92,"Charles Stuart, the Young Pretender",,898,From the Dictionary,,
42,Aldrich,Male,,,,,,"Constable, Wilson,Thomas letters MSS",,Walter Harte;Philip Stanhope;Edward Thomas;Richard Wilson;Neal,,"2287,4497,4729,5165,3534",From the Dictionary,,
43,Richard Neville Aldworth,Male,1717,1793,,,"Richard Aldworth (d. 1738) of Stanlake, Berks","Moore 1985,Neville and Aldworth MSS,Spence Letters,Wal.Corr.","93,94,95,96,97,98,99,100",William Windham;Thomas Sebright;Horatio Walpole;Dr George Turnbull,,"5177,4279,4975,4861",From the Dictionary,,
44,Catherine Alexander,Female,1694,1736,,,,Leghorn Inscr.,,,,,From the Dictionary,,
45,Cosmo Alexander,Male,1724,1772,,,John Alexander,"AVR SA,Burl.Mag.,Dennistoun","101,102","Patrick Leith;George Gray;James Edgar;James Stuart, the Pretender;Charles Edward Stuart, the Young Pretender;George Chalmers;9th Earl Marischal;William Aikman;George Seton, 5th Earl of Winton;Andrew Lumisden;Alexander Hay;James Edgar;James Ogilvy, Lord Deskford",Patrick Dawson;Domenico Dupra;Isabella Lumisden;Peter Coutts;Placido Costanzi,"2912,2078,1558,2648,898,872,3192,36,5190,3049,2317,1558,1371",From the Dictionary,,
46,George Alexander,Male,,,,,,Brown 1921,,,,,From the Dictionary,,
47,James Alexander,Male,1730,1802,,,"Nathaniel Alexander of Gunsland, Don.","ASN E 681-4,ASV IS 758-781,Clark/Bowron","103,104",Mr Saunders,"Batoni;Ferdinand I, King of Naples and the two Sicilies",4245,From the Dictionary,,
47.1,Anne Craufurd,Female,,1777,,,,,105,Mr Saunders;James Alexander,Batoni,"4245,47",Extracted from narrative,47,
48,John Alexander,Male,1686,1766,,,,"Coke accts.MSS,Fleming, Adam,HMC Stuart,James, Coke,Waterhouse 1994","106,107,108","Thomas Coke;Marquess of Huntly (later 2nd Duke of Gordon);Earl of Mar;James Stuart, the Pretender;Andrew Hay;Marquess of Annandale","Thomas Ashby;Giuseppe Chiari;Ramelli;Agostino Cornacchini;G.B. Foggini;Cosimo III, Grand Duke of Tuscany","1032,2592,3183,2648,2318,2702",From the Dictionary,,
49,Alexander,Male,1748,,,,,AVR SA,109,William Hamilton,,2220,From the Dictionary,,
50,Alexander,Male,,,,,,"ASV IS 758-781,Quin jnl. MSS,SP 105/281-283",,Basil Kennett;Horace Mann;Sir William Lynch;Gray;Plumer,"Sir Thomas Robinson;Count Richecourt, chief minister of the Tuscan Regency;Barch;Blece","2751,3169,3059,2084,3903",From the Dictionary,,
52,David Allan,Male,1744,1796,,,"David Allan, shoremaster of Alloa","AVR SA,HMC Cathcart,Humphry corr. MSS,Northcote Memorials,Skinner, Scots in Italy,Thorpe letters MSS,Thorpe letters MSS*,Whitley 1928","110,111,112","Andrew Lumisden;Sir William Hamilton;James Nevay;James Northcote;Thomas Graham;Lady Hamilton;Father Thorpe;Henry, 8th Baron Arundell;Gavin Hamilton;Cardinal York;James Byres;Patrick Home",Lord Cathcart;Lady Charlotte Erskine;Monsignor Giacomelli;Domenico Corvi;Lady Frances;Mrs Abercrombie of Tullibody,"3049,2219,3543,3604,2051,2219.1,4760,132,2207,2356,747,2488",From the Dictionary,,
53,Simon Allard,Male,,,,,,,,Mrs Barry,,268,From the Dictionary,,
54,Edmund Allen,Male,,,,,,"HMC Carlisle,Horn 1,Lewis 1961,SP 85/14-16,Spence Letters","113,114",2nd Duke of Newcastle;Lady Lechmere;Thomas Robinson;John Hedges;Joseph Spence;Edward Allen,Pirro Ligorio,"2956,2871,4111,2348,4469,55",From the Dictionary,,
55,Edward Allen,Male,,,,,,"GM,Montagu Letters,Rawlinson jnl. MSS,SP 93/3-6,SP 93/9-15,SP 105/281-283,Wal.Corr.","115,116,117",Capt. Howard;John Shadwell;Lady Mary Wortley Montagu;Horace Mann;William Allen;James Porten;Mrs Catherine Allen;2nd Duke of Newcastle;William Allen;Daughter of Edward Allen,,"2547,4300,3395,3169,60,3930,4300.2,2956,55.2,55.1",From the Dictionary,,
55.1,Daughter of Edward Allen,Female,1741,,,,Edward Allen;Catherine Shadwell,,,John Shadwell;Mrs Catherine Allen;William Allen,,"4300,4300.2,55.2",Extracted from narrative,55,
55.2,William Allen,Male,,1745,,Naples,Edward Allen;Catherine Shadwell,,,John Shadwell;Mrs Catherine Allen;Daughter of Edward Allen,,"4300,4300.2,55.1",Extracted from narrative,55.1,
56,George Allen,Male,,,,,,Horn 1,118,John Molesworth,,3370,From the Dictionary,,
57,Jerome Allen,Male,,,,,,ASV IS 758-781,,,,,From the Dictionary,,
58,John Allen,Male,1739,1778,,,"William Allen, Chief Justice of Pennsylvania","Erffa/Staley,Morgan Jnl.",119,Col. Joseph Shippen;Benjamin West;Robert Rutherfurd;George Jackson;John Murray;John Morgan,,"4346,5072,4187,2636,3497,3429",From the Dictionary,,
59,William Allen,Male,,,,,,Brown 1921,,,,,From the Dictionary,,
60,William Allen,Male,,,,,,"ASN E 679,Hervey (Aug.) Jnl.,SP 93/9-15","120,121,122",Edward Allen;Isaac Jamineau;William Hamilton,Pancrazi,"55,2656,2218",From the Dictionary,,
61,Mrs Allen,Female,,,,,,Bentham jnl.MSS,,Mr Mackinnon;Miss Palmer,,"3105,3715",From the Dictionary,,
62,Allen,Male,,,,,,"Coke accts.MSS,SP 85/14-16,SP 98/19-37,SP 99/57-63,Waters jnl.MSS",,Mr Skiner,Duke of Lauzun;Stosch,4378,From the Dictionary,,
62.1,Black slave ,Male,,,,,,,123,Allen,Stosch,62,Extracted from narrative,62,
63,Lancelot Allgood,Male,1711,1782,,,"Isaac Allgood of Nunwick, Northumb.","Brown 1921,CL,Commons 1,Sinclair jnl.MSS","124,125,126,127,128",Thomas Forster;George Sinclair of Ulbster;Charles Churchill;Edwin Lascelles;George Lewis Langton,,"1796,4206,934,2848,2843",From the Dictionary,,
64,Brian Allott,Male,1695,1773,,,"Bartin Allott of Bilham Grange, West Clayton, Yorks",Rawlinson jnl. MSS,"129,130,131,132",Richard Rawlinson,,4040,From the Dictionary,,
65,John Baptist Alonze,Male,,,,,,ASV IS 758-781,"133,134",,L. Anbeut,,From the Dictionary,,
66,Joseph Alston,Male,1706,1733,,,"Joseph Alston of Edwardston, Suff","Brown 1921,SP 99/57-63,Spence Letters",,James Gray;Lord Boyne;William Denny;Shuttleworth;Thomas Dereham,,"2079,543,1364,4355,1365",From the Dictionary,,
67,Dr Robert Alston,Male,,1719,,,,SP 98/19-37,,,,,From the Dictionary,,
68,"Sir Thomas, 3rd Bt. Alston",Male,1676,1714,,,"Sir Rowland Alston of Odell, Beds","Addison Letters,Anon.MSS 1699-1702,Brown 1921,Shrewsbury Jnl.,SP 98/19-37",135,3rd Earl of Holderness;Duke of Shrewsbury;Edward Wortley Montagu;Joseph Addison;George Dashwood;E. Thackeray,,"2466,4350,3390,29,1304,4719",From the Dictionary,,
69,Altman,Male,,,,,,,,Sir Sampson Gideon,,1946,From the Dictionary,,
70,James Alves,Male,1738,1808,,,,"AVR SA,Boswell, Italy,Dennistoun,MacDonald 1989,Martin jnl. MSS","136,137,138",James Martin;James Byres;James Boswell;Willison;Andrew Lumisden;Robert Strange,Abbé Colbert;Thomas Boswell,"3208,747,509,5150,3049,4585",From the Dictionary,,
71,Robert Amber,Male,,,,,,ASV IS 758-781,,,,,From the Dictionary,,
72,William Pitt Amherst,Male,1773,1857,,,William Amherst,"ASV IS 758-781,Attingham MSS,Carter Letters,Hippisley corr. MSS,Holland Jnl.,Knight Letters","139,140,141,142,143,144,145",George Cornewall;Lady Webster;Lord Carmarthen;Duke of Leeds;Lady Plymouth;Lady Knight;Lady Berwick;Lady Wyndham;5th Earl of Plymouth,"Pius VI, Pope","1137,5043,807,806,3909.1,2803,401,5257.1,3909",From the Dictionary,,
73,"Mary (Panton), Duchess of Ancaster",Female,,1793,,Naples,"Thomas Panton of Newmarket, Cambs","ASV IS 758-781,Carter Letters,Childe-Pemberton,Forbes jnl.MSS,Houblon Family,Knight Letters,Parker list MSS,Pembroke Papers 2,Riviere 1964,Wal.Corr.","146,147",Lady Georgiana Charlotte Bertie;Anthony Aufrere;Lord Bulkeley;Dr Drew;Lord Cholmondeley;Dr Edward Ash;Mary Carter;Miss Fellows,Mark Davis,"395,158,688,1479,929,134,831,1685",From the Dictionary,,
74,George Anderson,Male,,,,,,ASV IS 758-781,,Lord Elgin;Peter Vernei [Verney];Fenderico Cooper [Frederick Cooper];George Mier,Henry Compton,"1586,4916,1109,3314",From the Dictionary,,
75,John Anderson,Male,,,,,,"Brown 1921,Montagu Letters",148,Edward Wortley Montagu;Lady Mary Wortley Montagu;Andrew Archer,,"3391,3395,108",From the Dictionary,,
76,John Anderson,Male,,,,,,Brown 1921,,John Williams,,5132,From the Dictionary,,
77,W. Anderson,Male,,,,,,Brown 1921,,,,,From the Dictionary,,
78,Anderson,Male,,,,,,"ASN CRA 1257,Cochrane jnl.MSS,Drummond, Travels,Farington jnl.MSS",,Alexander Drummond;Lord Tufton;Schutz;Legh,,"1483,4857,4259,2897",From the Dictionary,,
79,"William Howard, Viscount Andover",Male,1714,1756,,,"11th E. of Suffolk and 4th E. of Berkshire, of Elford Hall, Staffs",SP 98/19-37,"149,150,151","Richard Younger;Lord Andover;Lady Nithsdale;James Stuart, the Pretender",Stosch;Antonio David,"5287,79,3576.1,2648",From the Dictionary,,
80,Andre,Male,,,,,,Martin jnl. MSS,152,Mrs Andre,,80.1,From the Dictionary,,
80.1,Mrs Andre ,Female,,,,,,,153,Andre,,80,Extracted from narrative,80,
81,Francis Andrews,Male,1718,1774,,,Alexander Andrews of Co. Antrim,"Leinster Corr.,Wal.Corr.","154,155,156,157,158",Lady Holland;Lord Kildare;Robert Fitzgerald;4th Duke of Bedford;Hewetson;James Wright,Richard Rigby;Maron,"2471.1,2766,1732,4181,2401,5237",From the Dictionary,,
82,Andrews,Male,,,,,,"AVR SA,SP 85/14-16,SP 98/19-37",,Draper;Biscow,Stosch,"1477,584",From the Dictionary,,
83,Angerstein,Male,1773,1858,,,John Julius Angerstein,"ASV IS 758-781,The Oracle",159,,Pietro Bartolini;Devort,,From the Dictionary,,
84,"George Johnston, 3rd Marquess of Annandale",Male,1720,1792,,,1st M. of Annandale [S];Charlotte van Lore,"Sinclair jnl.MSS,SP 98/39-46,Wal.Corr.",,George Sinclair;Horace Mann;Forster,Stosch,"4366,3169,1796",From the Dictionary,,
86,"William Johnston, 1st Marquess of Annandale",Male,1663,1721,,,1st E. of Annandale [S],"Brown 1921,Coutts ledgers,Kent letters MSS,SP 92/27-32,SP 93/3-6,SP 99/57-63","160,161,162,163","James Cunynghame;William Kent;John Fleetwood;James, Lord Johnston",George Middleton,"1247,2754,1751,2702",From the Dictionary,,
87,Hon. Richard Annesley,Male,1745,1824,,,1st Vct. Glerawly [I],"ASV IS 782-83,DNB,Wynne Diaries","164,165",Mrs Barry;Anne Lambert,Alexander Annesley,"268,87.1",From the Dictionary,,
87.1,Anne Lambert,Female,1752,1822,"Dunlady, Ireland","Belfast, Ireland",,,166,Richard Annesley,Alexander Annesley,87,Extracted from narrative,87,
88,Annesley,Male,1709,1770,,,,,"167,168,169",Alexander Wright,,5232,From the Dictionary,,
89,Joseph Anningson,Male,,,,,,Home jnl. MSS,,Patrick Home,Piranesi,2488,From the Dictionary,,
90,James Annison,Male,,,,,,HMC Buccleuch,170,,,,From the Dictionary,,
91,Thomas Anson,Male,1695,1773,,,"William Anson of Shugborough, Staffs","Anson papers,Brown 1921,HMC Polwarth,Michaelis 1882,Rawlinson jnl. MSS","171,172,173,174,175","William Mytton;Simon Degge;Alan Brodrick;Thomas Kemp;James 'Athenian"" Stuart;Sir John Dick;Thomas Jenkins;Joseph Nollekens","George, 1st Baron Anson;Bartolomeo Cavaceppi","3520,1350,598,2740,4610,1384,2680,3586",From the Dictionary,,
92,Thomas Anson,Male,1767,1818,,,"George Anson [formerly Adams -1773] of Shugborough, Staffs","Anson papers,ASV IS 758-781,Danby jnl.MSS","176,177,178,179",William Danby,William Stevenson,1286,From the Dictionary,,
93,Anson,Male,,,,,,ASV IS 758-781,,Henry Tonbul;'Grem' [Green?],,"4790,2092",From the Dictionary,,
94,"Sir John, 1st Bt. Anstruther",Male,1678,1753,,,"Sir William Anstruther of Anstruther, Co. Fife (Bt. of Nova Scotia)",SP 92/27-32,"180,181,182",Sir Thomas Hanmer;Capt. William Philbyn,,"2242,3845",From the Dictionary,,
95,Anstruther,Male,1718,1799,,,"Sir John Anstruther, 1st Bt.","Commons 2,Spence Letters","183,184,185,186,187",,,,From the Dictionary,,
96,Capt. Anstruther,Male,,,,,,ASN CRA 1259,,Countess Mahony;Count Mahony,,"3134,3136",From the Dictionary,,
97,Thomas Apperley,Male,1734,,,,"Thomas Apperley of Leominster, Herefs",,188,Sir Watkin Williams Wynn,,5261,From the Dictionary,,
98,"Henry Bathurst, Baron Apsley",Male,1762,1834,,,2nd E. Bathurst,Parker letters MSS,"189,190,191,192,193,194,195",,,,From the Dictionary,,
99,George Apthal,Male,,,,,,Pagano de Divitiis,196,,,,From the Dictionary,,
100,John Apthorp,Male,1730,1772,,,"Charles Apthorp of Boston, Mass.","ASN CRA 1277       ,Gibbon Journey,Kauffman 1924,Patch 1940,Martin jnl. MSS,Powel 1764 MSS,SP 105/309-321","197,198",Horace Mann;John Morgan;Thomas Palmer;Samuel Powel;James Byres;James Martin;Edward Gibbon;Thomas Patch,Cardinal Albani;Angelica Kauffman,"3169,3429,3714,3953,747,3208,1935,3762",From the Dictionary,,
101,Apthorp,Male,,,,,,"ASV IS 758-781,Parker jnl. MSS",,Mr Houghton;Robert Parker;Mr Riley,,"2535,3735,4093",From the Dictionary,,
102,Robert Arbuthnot,Male,1669,1733,,,"Rev. Alexander Arbuthnot of Arbuthnot, Kinc.","GM,SP 98/19-37","199,200,201,202","Skinner;Macarty;James Stuart, the Pretender",,"4377,3077,2648",From the Dictionary,,
103,Capt. Marriot Arbuthnot,Male,1711,1794,,,,Wal.Corr.,"203,204,205,206,207,208",Henry Conway;Horace Mann;Mrs Arbuthnot;Sister of Mrs Arbuthnot,,"1094,3169,103.1,103.2",From the Dictionary,,
103.1,Mrs Arbuthnot ,Female,,,,,,,209,Capt. Marriot Arbuthnot;Sister of Mrs Arbuthnot,,"103,103.2",Extracted from narrative,103,
103.2,Sister of Mrs Arbuthnot,Female,,,,,,,,Capt. Marriot Arbuthnot;Mrs Arbuthnot,,"103,103.1",Extracted from narrative,103,
104,Arbuthnot,Male,,,,,,"Grey jnl. MSS 2,The Oracle",,Miss Arbuthnot,,104.1,From the Dictionary,,
104.1,Miss Arbuthnot,Female,,,,,,,,Arbuthnot,,104,Extracted from narrative,104,
105,Chaloner Arcedeckne,Male,1743,1809,,,"Andrew Arcedeckne of Gurnamone, Gal.","ASV IS 758-781,Pepys 1904,Townley MSS,Wal.Corr.","210,211,212,213",John Bohun;Charles Townley;John Blois;Horace Mann,,"478,4804,468,3169",From the Dictionary,,
106,Capt. Thomas Archdeacon,Male,,,,,,Hughan,,,,,From the Dictionary,,
107,Andrew Archer,Male,1659,1741,,,"Thomas Archer of Umberslade, War","SP 79/6-8,SP 92/27-32","214,215,216,217,218,219",Stowell;Henry Belasyse,Edward Harley,"4576,343",From the Dictionary,,
