Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Is Good News
806,First Cloned Mammal Unknown Dolly the Sheep,5,July,1996,UK,Scientific,Roslin Institute,Advancement in cloning technology,Scientific community,Ian Wilmut and team,True
855,Introduction of the Euro,1,January,1999,France,Economic,Paris,Adoption of the Euro as currency,European Union members,French Government,True
880,Mani Pulite (Clean Hands) Investigation Begins,17,February,1992,Italy,Corruption Investigation,Milan,Exposure of widespread political corruption,Italian political class,Italian judiciary,True
910,Barcelona Olympics,25,July,1992,Spain,International Event,Barcelona,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government",True
926,Launch of AVE HighUnknownSpeed Train,21,April,1992,Spain,Infrastructure,Between MadridUnknownSeville,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government,True
983,Independence from South Africa,21,March,1990,Namibia,Independence,Namibia,End of South African rule and apartheid in Namibia.,Namibians,"SWAPO, United Nations",True
1005,Independence from Ethiopia,24,May,1993,Eritrea,Independence,Eritrea,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum.",Eritreans,"EPLF, UN",True
1006,Nelson Mandela's Release from Prison,11,February,1990,South Africa,Political,South Africa,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",True
1007,Signing of Arusha Accords,4,August,1993,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF",True
1035,Movement for Multiparty Democracy,Unknown,Unknown,1991,Zambia,Political,Zambia,Transition from oneUnknownparty state to multiparty democracy.,Zambians,Frederick Chiluba,True
1036,Mozambique Civil War Ends,4,October,1992,Mozambique,Peace Agreement,"Rome, Italy","End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO",True
1037,End of Apartheid,27,April,1994,South Africa,General Elections,South Africa,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC",True
1038,Eritrean Independence Referendum,23Unknown25,April,1993,Ethiopia,Referendum,Eritrea,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN",True
1039,Namibian Independence,21,March,1990,Namibia,Independence,Namibia,Independence from South African rule.,Namibians,"Sam Nujoma, UN",True
1072,Real Plan Implementation,1,July,1994,Brazil,Economic,Brazil,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco,True
1077,Fernando Collor's Impeachment,29,December,1992,Brazil,Political,Brazil,First Brazilian president to be impeached due to corruption charges,Brazilian population,National Congress,True
1078,Plano Real Economic Stabilization,1,July,1994,Brazil,Economic,Brazil,Introduction of the Real (R$) to stabilize the Brazilian economy,Brazilian economy,Itamar Franco,True
1079,Rio Earth Summit,Unknown,June,1992,Brazil,Environmental,Rio de Janeiro,International conference on environment and sustainability,Global population,UN,True
1080,FHC Presidency (Fernando Henrique Cardoso),1,January,1995,Brazil,Political,Brazil,Implementation of economic reforms and Plano Real,Brazilian population,Fernando Henrique Cardoso,True
1116,German Reunification,Unknown,October,1990,Germany,Political,Germany,Reunification of East and West Germany into a single German state,Helmut Kohl,Mikhail Gorbachev,True
1117,Treaty on the Final Settlement with Respect to Germany,Unknown,September,1990,Germany,Political,Moscow,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification,Germans,Two Plus Four Agreement negotiators,True
1118,Establishment of the European,Unknown,February,1992,Germany,Political,Maastricht,The Maastricht Treaty laid the foundation for further European integration,Europeans,European Community members,True
