Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible
331,Mabo v Queensland Decision,3,June,1992,Australia,Legal Land Rights,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia"
337,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister)
347,Mabo Decision by the High Court,3,June,1992,Australia,Legal Land Rights,Australia,"Recognized native title in Australia, overturning the doctrine of terra nullius.",Indigenous Australians,"Eddie Mabo, High Court of Australia"
348,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard
383,Resource Management Act Enacted,Unknown,Unknown,1991,New Zealand,Environmental Legislation,New Zealand,"Provided a framework for managing New Zealand's natural and physical resources, emphasizing sustainability.",New Zealanders,New Zealand Government
388,New Zealand's First Female Prime Minister,5,December,1997,New Zealand,Political Milestone,New Zealand,"Jenny Shipley became the first female Prime Minister, marking a significant moment in New Zealand's political history.",New Zealanders,Jenny Shipley
391,MMP Electoral System Introduced,Unknown,Unknown,1993,New Zealand,Electoral Reform,New Zealand,"Changed the electoral system to Mixed Member Proportional, aiming for fairer representation in Parliament.",New Zealand voters,New Zealand Government
392,New Zealand Signs Kyoto Protocol,Unknown,Unknown,1998,New Zealand,International Agreement,"Kyoto, Japan","Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government
394,New Zealand Bill of Rights Act,Unknown,Unknown,1990,New Zealand,Legal Framework,New Zealand,"Affirmed rights and freedoms in New Zealand law, providing comprehensive protection of human rights.",New Zealanders,New Zealand Government
422,Kim IlUnknownsung’s Death,8,July,1994,North Korea,Political,Pyongyang,Marked the end of Kim IlUnknownsung’s era and the beginning of Kim JongUnknownil’s leadership.,North Korean citizens,Unknown
428,Kim DaeUnknownjung’s Sunshine Policy,Unknown,Unknown,1990,South Korea,Diplomatic Policy,Korean Peninsula,"A policy of engagement with North Korea, leading to a brief period of improved interUnknownKorean relations.",Koreans,Kim DaeUnknownjung
446,Normalization of USUnknownVietnam Relations,11,July,1995,Vietnam,Diplomatic,"Vietnam, US","Marked the normalization of relations between Vietnam and the US, including the opening of diplomatic and economic ties.","Vietnamese, Americans","Bill Clinton, Vietnamese Government"
447,Vietnam Joins ASEAN,28,July,1995,Vietnam,International Integration,Southeast Asia,"Vietnam's accession to ASEAN, enhancing regional cooperation and integration.",Vietnamese people,"ASEAN, Vietnamese Government"
502,First Gulf War,2,August,1990,Saudi Arabia,Military Conflict,"Kuwait, Saudi Arabia",Iraq's invasion of Kuwait led to Saudi Arabia hosting coalition forces and participating in military operations.,Regional stability,"Saudi Government, Coalition Forces"
504,Introduction of the Basic Law of Governance,1,March,1992,Saudi Arabia,Legal Framework,Unknown,"Formalized the Saudi political and administrative structure, reinforcing the monarchy's Islamic governance model.",Saudi Arabian citizens,King Fahd
532,Elected Presidency Introduced,30,November,1991,Singapore,Political Reform,Singapore,Introduction of a directly elected President with custodial powers over national reserves,Singaporean citizens,Singaporean Government
612,Gulf War,Unknown,January,1991,"Kuwait, Iraq",Military Conflict,Kazakhstan,Iraq's invasion of Kuwait leads to conflict and subsequent economic sanctions.,Iraqi citizens,"Saddam Hussein, Coalition Forces"
613,Independence from the Soviet Union,16,December,1991,Kazakhstan,Independence,From Almaty to Astana,Kazakhstan declares sovereignty as the Soviet Union collapses.,Kazakh citizens,Nursultan Nazarbayev
614,Capital Moved to Astana,Unknown,Unknown,1997,Uzbekistan,Administrative Change,Astana,Moving the capital was aimed at political and economic development.,Kazakh citizens,Nursultan Nazarbayev
615,Independence from the Soviet Union,1,September,1991,Uzbekistan,Independence,Uzbekistan,Uzbekistan declares independence following the dissolution of the Soviet Union.,Uzbek citizens,Unknown
617,Introduction of Television,Unknown,June,1999,Bhutan,Cultural Change,Bhutan,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck
642,Korean Air Flight 801,6,August,1997,South Korea,Aviation,Guam,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747Unknown300
644,Pakistan International Airlines Flight 268,28,September,1992,Pakistan,Aviation,Kathmandu,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4Unknown203
645,Philippine Airlines Flight 434,11,December,1994,Philippines,Aviation,Okinawa,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747Unknown283B
646,SilkAir Flight 185,19,December,1997,Singapore,Aviation,Musi River,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial.",104 passengers & crew,Boeing 737Unknown36N
669,Oklahoma City Bombing,19,April,1995,USA,Domestic Terrorism,"Oklahoma City, OK","Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols"
685,Tech Boom and DotUnknowncom Bubble,             ,Unknown,1990,USA,Economic,"Silicon Valley, CA","Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors"
735,Oka Crisis,11,July,1990,Canada,Social Unrest,"Oka, Quebec","Standoff between Mohawk protesters, Quebec police, and the Canadian army.","Mohawk community, Canadians","Mohawk protestors, Canadian government"
736,NAFTA Agreement Signed,17,December,1992,Canada,Economic,Ottawa,North American Free Trade Agreement altered trade relations with the U.S. and Mexico.,Canadian businesses,Brian Mulroney
743,Establishment of Nunavut,1,April,1999,Canada,Political,Northern Canada,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders"
744,Quebec Referendum on Sovereignty,30,October,1995,Canada,Political,Quebec,"Referendum on Quebec's independence from Canada, narrowly defeated.",Quebecers,"Jacques Parizeau, Lucien Bouchard"
745,Charlottetown Accord Referendum,26,October,1992,Canada,Political,Nationwide,Proposed constitutional changes defeated in a national referendum.,Canadian citizens,"Brian Mulroney, Provincial Premiers"
759,Establishment of Nunavut,1,April,1999,Canada,Political,Northern Canada,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government
778,Good Friday Agreement,10,April,1998,UK,Peace Process,Northern Ireland,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments
786,First Human DNA Sequencing,10,May,1997,UK,Scientific,Aldermaston,Significant advancement in genetics and medicine,Global scientific community,Frederick Sanger
787,Scottish Devolution Referendum,11,September,1997,UK,Political,Scotland,Established a devolved Scottish Parliament,Scottish population,UK Government
804,British Exit from the European Exchange Rate Mechanism,16,September,1992,UK,Economic,UK,'Black Wednesday' financial crisis,British economy,UK Government
806,First Cloned Mammal Unknown Dolly the Sheep,5,July,1996,UK,Scientific,Roslin Institute,Advancement in cloning technology,Scientific community,Ian Wilmut and team
855,Introduction of the Euro,1,January,1999,France,Economic,Paris,Adoption of the Euro as currency,European Union members,French Government
880,Mani Pulite (Clean Hands) Investigation Begins,17,February,1992,Italy,Corruption Investigation,Milan,Exposure of widespread political corruption,Italian political class,Italian judiciary
881,Berlusconi Elected Prime Minister,27,March,1994,Italy,Political Change,Rome,Shift in Italian politics and media landscape,Italian population,Silvio Berlusconi
910,Barcelona Olympics,25,July,1992,Spain,International Event,Barcelona,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government"
926,Launch of AVE HighUnknownSpeed Train,21,April,1992,Spain,Infrastructure,Between MadridUnknownSeville,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government
979,Rwandan Genocide,Unknown,April,1994,Rwanda,Genocide,Rwanda,Mass slaughter of the Tutsi population.,Rwandans,"Hutu government officials, militias"
981,Somali Civil War Begins,Unknown,Unknown,1991,Somalia,Civil War,Somalia,Led to state collapse and ongoing conflict.,Somalis,"Various warlords, clans"
983,Independence from South Africa,21,March,1990,Namibia,Independence,Namibia,End of South African rule and apartheid in Namibia.,Namibians,"SWAPO, United Nations"
1005,Independence from Ethiopia,24,May,1993,Eritrea,Independence,Eritrea,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum.",Eritreans,"EPLF, UN"
1006,Nelson Mandela's Release from Prison,11,February,1990,South Africa,Political,South Africa,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC"
1007,Signing of Arusha Accords,4,August,1993,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF"
1035,Movement for Multiparty Democracy,Unknown,Unknown,1991,Zambia,Political,Zambia,Transition from oneUnknownparty state to multiparty democracy.,Zambians,Frederick Chiluba
1036,Mozambique Civil War Ends,4,October,1992,Mozambique,Peace Agreement,"Rome, Italy","End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO"
1037,End of Apartheid,27,April,1994,South Africa,General Elections,South Africa,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC"
1038,Eritrean Independence Referendum,23Unknown25,April,1993,Ethiopia,Referendum,Eritrea,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN"
1039,Namibian Independence,21,March,1990,Namibia,Independence,Namibia,Independence from South African rule.,Namibians,"Sam Nujoma, UN"
1072,Real Plan Implementation,1,July,1994,Brazil,Economic,Brazil,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco
1077,Fernando Collor's Impeachment,29,December,1992,Brazil,Political,Brazil,First Brazilian president to be impeached due to corruption charges,Brazilian population,National Congress
1078,Plano Real Economic Stabilization,1,July,1994,Brazil,Economic,Brazil,Introduction of the Real (R$) to stabilize the Brazilian economy,Brazilian economy,Itamar Franco
1079,Rio Earth Summit,Unknown,June,1992,Brazil,Environmental,Rio de Janeiro,International conference on environment and sustainability,Global population,UN
1080,FHC Presidency (Fernando Henrique Cardoso),1,January,1995,Brazil,Political,Brazil,Implementation of economic reforms and Plano Real,Brazilian population,Fernando Henrique Cardoso
1116,German Reunification,Unknown,October,1990,Germany,Political,Germany,Reunification of East and West Germany into a single German state,Helmut Kohl,Mikhail Gorbachev
1117,Treaty on the Final Settlement with Respect to Germany,Unknown,September,1990,Germany,Political,Moscow,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification,Germans,Two Plus Four Agreement negotiators
1118,Establishment of the European,Unknown,February,1992,Germany,Political,Maastricht,The Maastricht Treaty laid the foundation for further European integration,Europeans,European Community members
