RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,PlaceNotes,Latitude,Longitude,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Jurisdiction_ID4,Jurisdiction_ID5,Jurisdiction_ID6,Classification,ClassificationNotes,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,Language,LanguageNotes,Source,SourceOther,Edition,EditionOther,Source_URL,Source_URL2,SourceNotes,TranscriptionNotes,NoKnownText,TextNeeded,Fragment,BaseText,OCR,GeneralNotes,Transcription,BiblioRefs
0016,1300,1298x1303,,,Yes,date range from episcopal reign,Cologne,Cologne,Cologne,Germany,,50.94257,6.958976,D538,,,,,,Diocesan,,Wikbold von Holte,,1297,1304,,Latin,,,,"Wolter, Synodalstatuten, 156-172, no. 6","Hartzheim IV, 37-43",https://books.google.com/books?id=M99KAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0017,1307,1307,2,13,,"Given incorrectly as 1306 in Hartzheim; for discussion, see Unger, 234-44, and 289",Cologne,Cologne,Cologne,Germany,,50.94257,6.958976,D538,,,,,,Diocesan,,Heinrich von Virneburg,,1306,1332,,Latin,,,,"Wolter, Synodalstatuten, 172-187, no. 7","Hartzheim IV, 99-106 ",https://books.google.com/books?id=kbNumdYKdrkC,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0018,1310,1310,,,,,Trier,Trier,Trier,Germany,,49.7596,6.6439,P083,,,,,,Provincial,,Baldwin of Luxembourg,,1307,1354,,Latin,,,,"Blattau, Statuta synodalia, I, 63-155","Hartzheim IV, 127-65",https://books.google.com/books?id=dow-AAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",Yes,,Reviewed ,
0019,1310,1310,5,13,,"Provincial council occurred May 11-13, but compilation was approved the first day (see Johanek, Synodalia, ch. 2)",Mainz,Mainz,Mainz,Germany,,49.98,8.2791,P043,,,,,,Compilation (Provincial),,Peter von Aspelt,,1306,1320,,Latin,,,,"Hartzheim IV, 174-223",,https://books.google.com/books?id=M99KAAAAcAAJ,,"Existing editions highly unsatisfactory, as noted by Johanek, Synodalia, ch. 2, but no attempt has here been made to improve the Hartzheim text",,,,,"GoogleBooks
Data Capture",,"Johanek, Synodalia, I, 75: this  codification by Peter von Aspelt was widely diffused in Germany; aside from within the province of Mainz, it is also found in Constance, Basel, Hildesheim, Eichstaett, Boeblingen, Erfurt, and the diocese of Paderborn
-survives in at least 59 MSS total (Johanek, Synodalia, III, Anhang I)
-contains material from Fritzlar 1244, Mainz 1246, Mainz 1261, Aschaffenburg 1292, AB Peter (undated), German national council of 1225, and Magdeburg 1261 (see Unger, Rezeption, 284-85)",Reviewed ,
0020,1311,1311,,,,issued between 5 November 1310 and 1 October 1311,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Pierre de Lévis-Mirepoix,,1309,1324,,Latin,,,,"Hartzheim IV, 240-42",,https://books.google.com/books?id=M99KAAAAcAAJ,,,CoSyn Transcription from Hartzheim edition,,,,"GoogleBooks
Data Capture",,,Reviewed ,"Caspars, Synodale Statuten, 88-89"
0021,1317,1317,3,14,,,Münster,Münster,Cologne,Germany,,51.962944,7.628694,D541,,,,,,Diocesan,,Ludwig II,,1310,1357,,Latin,,,,"Westfaelisches Urkundenbuch, VIII, p. 417ff, nr. 1140","Hartzheim IV, 251-54; Niesert, Beiträge zu einem Münsterischen Urkundenbuche, 1, 1, 39-42 (no. 7)",https://books.google.com/books?id=M99KAAAAcAAJ,https://books.google.com/books?id=TkdZAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0022,1323,1323,10,18,,dated 1324 in Hartzheim,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Pierre de Lévis-Mirepoix,,1309,1324,,Latin,,"Paris, BnF lat 1592, fol. 27v-28v",,"Reusens, Statuta, 83-86","Gousset, APER II, 515-518; Hartzheim IV, 286-88",,https://books.google.com/books?id=L9U-AAAAcAAJ,,CoSyn transcription from Reusens edition,,,,"GoogleBooks
Library Scan
Digital MS
WebDownload",Yes,MS (and Reusens ed.) has additional passage at end not given in Gousset edition,Reviewed ,
0023,1355,1355,5,13,,,Utrecht,Utrecht,Cologne,Netherlands,,52.083,5.1,D543,,,,,,Diocesan,,Jan van Arkel,,1342,1364,,Latin,,,,"Joosting, Bronnen, V, 140-41","Hartzheim IV, 378-80",https://resolver.kb.nl/resolve?urn=MMKB02:100007906,https://books.google.com/books?id=kbNumdYKdrkC,,,,,,Data Capture,,,Reviewed ,
0025,1356,1356,3,14,,,Cologne,Cologne,Cologne,Germany,,50.94257,6.958976,D538,,,,,,Diocesan,,Wilhelm von Gennep,,1349,1362,,Latin,,,,"Wolter, Synodalstatuten, 485-489, no. 88","Hartzheim IV, 480-82; REK VI, no. 778 (Summary)",https://books.google.com/books?id=kbNumdYKdrkC,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0026,1370,1370,,,,,Magdeburg,Magdeburg,Magdeburg,Germany,,52.133333,11.616667,P042,,,,,,Provincial,,"Albrecht II., Graf von Sternberg",,1368,1372,,Latin,,,,"Hartzheim IV, 411-27",,https://books.google.com/books?id=M99KAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,Largely a reissuing of earlier statutes,Reviewed ,
0028,1375,1375,3,12,,March 11/12,Bonn,Cologne,Cologne,Germany,,50.733889,7.099722,D538,,,,,,Diocesan,,Friedrich von Saarwerden,,1370,1414,,Latin,,,,"Wolter, Synodalstatuten, 646-649, no. 151","Hartzheim IV, 520-522; REK VIII, 1153 (summary)",https://books.google.com/books?id=kbNumdYKdrkC,,,CoSyn transcription from Hartzheim,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0029,1386,1386,1,25,,,Salzburg,Salzburg,Salzburg,Austria,,47.8025,13.045833,P067,,,,,,Provincial,,Pilgrim II of Pucheim,,1365,1396,,Latin,,,,"Dalham, Concilia, 160-66","Hartzheim, IV, 530-34",https://books.google.com/books?id=HmlNAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",Yes,"survives in at least 32 MSS (Johanek, Synodalia, III, Anhang I, 26-27)
",Reviewed ,
0030,1283,1283,10,1,,,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Enguerrand II de Créqui,,1274,1286,,Latin,,,,"Avril, Statuts, IV, 109-111","Boeren, Anciens statuts, III, 408-410",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,,,,,,Hard Copy Scan,Yes,Additiones,Reviewed ,
0032,1292,1292-1295,,,Yes,"first redaction in 1292-1293, with additions and corrections in 1294-1295 (see Avril, Bourges, 210)",Mende,Mende,Bourges,France,,44.51944,3.50139,D384,,,,,,Compilation (Diocesan),LIber synodalis; Instructiones (first part of the text),William Durand,Guglielmus Durantis,1286,1296,,Latin,,,,"Avril, Bourges, 209-311","Instructions et constitutions de Guillaume Durand le Spéculateur publiées d’après le manuscrit de Cessenon. Eds. Jos. Berthelé and M. Valmary. Montpellier: Delord-Boehm et Martial, 1900. [=Mémoires de l’Académie des sciences et lettres de Montpellier, ser. 2, 3 (1905): 1-148.])",,,"It is possible that authorial corrections survive in Cessenon MS (now AD Herault 10 F 96), but Avril is doubtful",,,,,Hard Copy Scan,Yes,,Reviewed ,
0033,1279,1279,10,16,,,Södertälje,Strängnäs,Uppsala,Sweden,previously known as Tälje,59.183333,17.666663,P086,,,,,,Provincial,,Jakob Israelsson,Jacobus Israelis ,1277,1281,,Latin,,,,"SDHK-nr: 1070, 1115","Diplomatarium Suecanum, no. 691, 692 [=I, 558-566]",https://sok.riksarkivet.se/sdhk SDHK-nr: 1070,https://books.google.com/books?id=EnWyZimmPqsC,"
",,,,,Other,,All six suffragan bishops present,Reviewed ,
0034,1299,1299x1301,,,Yes,"1299x1301 dating from Bertil Nilsson - email 22 March 2017); elsewhere 1296x1314, and possibly attributable to AB Nils Kettilsson",Uppsala,Uppsala,Uppsala,Sweden,,59.833333,17.666667,D696,,,,,,Other,"""Modificatio et Declaratio"" of the 1279 Södertälje decrees",Nils Allesson,,1292,1305,,Latin,,,,"SDHK, nr: 1822","Diplomatarium Suecanum, vol. II, nr. 1746  ",https://sok.riksarkivet.se/sdhk,https://books.google.com/books?id=lp_dvHv4FTkC,,,,,,Other,,"not itself issued at a council, rather this text is the archbishop's explanation  of the 1279 Södertälje decrees",Reviewed ,
0035,1319,1319,10,2,,,Bonn,Cologne,Cologne,Germany,,50.733889,7.099722,D538,,,,,,Diocesan,,Heinrich von Virneburg,,1306,1332,,Latin,,,,"Wolter, Synodalstatuten, 260-271, no. 18","Janssen, Synodalstatuten, S. 121-128",,,,,,,,"Library Scan
Hard Copy Scan
Digital MS",,"As noted in Lepper article, three of the fifteen articles were previously given at the synod held in February of that year, and two others (on usury and excommunication) are elaborations of February issues

Cologne, DB Cod 134 (MS D, in edition) gives markedly different text for c. 12 (on beguines) and omits subsequent statutes",Reviewed ,"Lepper, Unbekannte, 339-56."
0036,1279,1279,,,,,Reading,,Canterbury,England,,51.454167,-0.973056,P020,,,,,,Provincial,,John Peckham,John Pecham,1279,1292,,Latin,,,,"Councils and Synods, ed Powicke and Cheney, vol 2, 834-51",,,,,,,,,Data Capture,,,Reviewed ,
0037,1298,1298,,,,,Novara,Novara,Milan,Italy,,45.45,8.61667,D166,,,,,,Diocesan,Second Part (Constitutiones),Papiniano della Rovere,,1296,1300,,Latin,,,,"Novara 1298, ed Briacca, pp214-271",,,,,,,,,Hard Copy Scan,,"Second Part (Constitutiones)

Liber synodalis of Papiniano della Rovere, Bishop of Novara – issued in 1298 (following celebration of a synod), two years into his episcopate (p36); he had been born in Turin, and was later named bishop of Parma in 1300

-Papiniano was himself closely tied to papacy, having served as a chaplain and “uditore del Palazzo apostolico” [p41] at the request of Boniface VIII [Registres de Boniface VIII, I, n. 914, coll 319-20]

-Novara was under jurisdiction of Milan, but the work shows few traces of the council held at Milan in 1291 [pp. 36-37]

-work is strongly influenced by Guillaume Durand’s statutes (p. 67); follows structure of instructiones et monitiones and then constitutiones (this seems to have been the southern French model, as opposed to Odo of Sully’s, which was pervasive in the North; see Guizard, l’Oeuvre canonique de Guillaume Durand, in XXXIXme Congrès Mende 1955, Montpellier 1955)

-shows itself to be strongly inspired by Bonifician conception of centralized authority [p82]

-Helmrath, Partikularsynoden, 160: 1298 Novara Diocesan Statutes (issued by Bishop Papinianus della Rovere) contained material from Gratian, the Liber Extra, the Synodalbook of William Durandus, the 1252 Statutes of Nimes, a Cologne Synod, the joint 1289 statutes of Cahors, Rodez and Tulle, and other statutes of Novara itself from 1257 and 1277. (cites Briacca, Statuti sinodali, 169-279)",Reviewed ,"Briacca, Papiniano della Rovere, Contributi ad una biografia, in Raccolta di Studi in memoria di Giovanni Soranzo, I, Milan 1968, pp60-128, at pp113-14"
0038,1310,1310,,,,,Florence,Florence,[Holy See],Italy,,43.771667,11.253611,D096,,,,,,Diocesan,,Antonio d'Orso Biliotti,,1309,1321,,Latin,,,,"Trexler, Synodal Law, 225-89",,,,,,,,,Hard Copy Scan,Yes,"1310 Florentine constitutions required new officials to ban heretics from communal territory within one month of their assumption of office [see Constitutions of Florence (1310), in ibid, p274, line 31]

Constitutions of Florence (1310): section on De hereticis ” [Trexler, 274-75]
-“Ad exterminium igitur heretice pravitatis…” curates are to be vigilent “ne aliqui heretici vel credentes in suis parrocchiis commorentur” [repeating Fiesole legislation]
-refers repeatedly to “exterminationem heresum” and “hereticorum exterminium”
-temporal authorities are to publish this decree and papal legislation against heretics within a month of taking office
-anyone who was excommunicated on suspicion of heresy and remained pertinacious for a year and more (i.e. remained excommunicate”) would be condemned as a heretic
",Reviewed ,
0039,1327,1327,8,7,,,Florence,Florence,[Holy See],Italy,,43.771667,11.253611,D096,,,,,,Diocesan,,Francesco di Silvestro da Cingoli,,1323,1341,,Latin,,"Florence, Archivio di Stato, Capitoli XI, ff. 1-19",,"Guasti & Gherardi, I Capitoli del comune di Firenze II (Florence, 1893), pp4-47",,,,,CoSyn transcription from Guasti/Gherardi edition,,,,"GoogleBooks
Hard Copy Scan",Yes,"Bp issues revocatio and modificatio in 1330 (see notes); heavily dependent on earlier statutes of Rimini (issued by Bp Cingoli, prior to his translation to Florence)

",Reviewed ,
0040,1306,1306,,,,,Fiesole,Fiesole,[Holy See],Italy,,43.8,11.3,D094,,,,,,Diocesan,,Antonio d'Orso Biliotti,,1301,1309,,Latin,,,,"Trexler, Synodal Law, 181-224",,,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0041,1352,1352,,,,,Kammin,Kammin,[Holy See],Poland,"also Cammin, Kamień Pomorski",53.966667,14.783333,D663,,,,,,Diocesan,,Johann von Sachsen-Lauenburg,,1343,1370,,Latin,,,,"Wiegand, Kammin, pp245-271",,,,,,,,,"Library Scan
Hard Copy Scan",,,Reviewed ,
0043,1400,1398x1406,,,Yes,"dating from Hauck, Kirchengeschichte, V.i.146",Constance,Constance,Mainz,Germany,,47.663333,9.175278,D555,,,,,,Diocesan,,Marquard von Randegg,,1398,1406,,Latin,,,,"Brehm, Diözesan-Archiv von Schwaben, 22, pp44-48, 93-96, 141-144; 23 (1905): 30-32, 44-45 ","summary in Kehrberger, PSS, 82-86",http://digi.ub.uni-heidelberg.de/diglit/dioezarchivschwab,,,,,,,Hard Copy Scan,Yes,cc. 96-102 are reissues of earlier statutes,Reviewed ,
0045,1230,1230,,,,,Albi,Albi,Bourges,France,,43.928889,2.146389,D381,,,,,,Diocesan,,Durand de Beaucaire,,,,,Latin,,,,"Pontal, Statuts, II, 8-33",,https://gallica.bnf.fr/ark:/12148/bpt6k62444168,,Facing page French translation,,,,,"GoogleBooks
WebDownload",Yes,"Bishop came from Bourges and was clearly concerned about heresy (Pontal, II, 3)

(64) Item, precipimus quod omnes sacerdotes et capellani habeant et teneant et observent statuta nostra synodalia, et in manu sua in omnibus synodis teneant et observent. Quod si non habuerint, persolvant X solidos ramundenses. Ista autem precipimus statuta quod bis in epdomada legant loco VII psalmorum.
**priests and chaplains to read the statutes twice weekly in lieu of 7 penitential psalms
",Reviewed ,
0046,1270,1254x1271,,,Yes,date range from episcopal reign; Lagger argues for 1267x1271 in Statuts synodaux d'Albi,Albi,Albi,Bourges,France,,43.928889,2.146389,D381,,,,,,Diocesan,,Bernard II de Combret,,1254,1271,,Latin,,,,"Pontal, Statuts, II, pp458-72",,https://gallica.bnf.fr/ark:/12148/bpt6k62444168,,,,,,,"GoogleBooks
WebDownload",Yes,,Reviewed ,
0047,1234,1234,,,,,Bordeaux,Bordeaux,Bordeaux,France,,44.837912,-0.579541,D365,,,,,,Diocesan,some of the statutes applied to whole province (margin notes these as “est provinciale”),Géraud de Malemort,,1227,1261,,Latin,,,,"Pontal, Statuts, II, 44-105",,https://gallica.bnf.fr/ark:/12148/bpt6k62444168,,Facing page French translation; MS fragmentary in parts,,,,,"GoogleBooks
WebDownload",Yes,"apparently with some influence from Salisbury, but notably limited influence from LatIV (as observed in Avril, Bordeaux et Saintes, 29)",Reviewed ,
0048,1230,1225x1235,,,Yes,reworked and augmented by Hostiensis in 1249 ,Sisteron,Sisteron,Aix,France,,44.191111,5.947222,D335,,,,,,Diocesan,,Rodolphe II,,1216,1241,,Latin,,,,"Pontal, Statuts, II, 186-233",,https://gallica.bnf.fr/ark:/12148/bpt6k62444168,,,"Many passages copied directly from Synodal de l'Ouest (0904_Angers_1218c), as per Pontal edition",,,,"GoogleBooks
WebDownload",Yes,,Reviewed ,
0049,1252,1252,,,,,Nimes,Nimes,Narbonne,France,,43.837778,4.360833,D409,,,,,,Diocesan,reputedly written by Pierre de Sampson,Raymond Amaury,,,,,Latin,,,,"Pontal, Statuts, II, 264-453",,https://gallica.bnf.fr/ark:/12148/bpt6k62444168,,,,,,,"GoogleBooks
WebDownload",Yes,"Pierre de Sampson may have composed these statutes for Nimes in 1252, upon request of Raymond Amaury, bishop of Nimes, though see doubts expressed by H. Gilles, DHJF, 914-915

soon adopted in Arles, Béziers, Frejus, Lodève, Urzès, and became influential across Europe (cf. copy in Wroclaw MS; Sawicki X, 504-41)",Reviewed ,
0050,1240,1238x1245,,,Yes,,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Guiard de Laon,Gui Ier de Laon,1238,1248,,Latin,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 1r-14v",,"Avril, Statuts, IV, 19-65","Boeren, Anciens statuts, III, 131-167",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,CoSyn Transcription from Avril edition,,,,Hard Copy Scan,Yes,,Reviewed ,
0051,1260,1260,10,1,,,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Nicolas III de Fontaines,,1248,1273,,Latin,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 14v-19v",,"Avril, Statuts, IV, 72-85","Boeren, Anciens statuts, III, 377-390",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,CoSyn Transcription from Avril edition,,,,Hard Copy Scan,Yes,"Nove additiones
",Reviewed ,
0052,1273,1273,10,1,,"MS gives 1270, but sede vacante only fell in October in 1273",Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,"sede vacante, issued by chapter",sede vacante,,,,,Latin,,,,"Avril, Statuts, IV, 93-94","Boeren, Anciens statuts, III, 391-92",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0053,1274,1274,10,1,,Month/Day uncertain,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Enguerrand II de Créqui,,1274,1286,,Latin,,,,"Avril, Statuts, IV, 94-95","Boeren, Anciens statuts, III, 392-93",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0054,1275,1275,10,1,,,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Enguerrand II de Créqui,,1274,1286,,Latin,,"Nijmegen, Universiteitsbibliotheek, MS 192, fol. 20r-22v",,"Avril, Statuts, IV, 95-99","Boeren, Anciens statuts, III, 393-98",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,Nijmegen MS not known to Avril; see transcription provided by CMA Caspers and update accordingly,CoSyn Transcription from Avril edition,,,,Hard Copy Scan,Yes,"Synod consisted of ""additiones""",Reviewed ,
0055,1277,1277,10,1,,Month/Day uncertain,Cambrai,Cambrai,Reims,France,,50.175579,3.2345,D430,,,,,,Diocesan,,Enguerrand II de Créqui,,1274,1286,,Latin,,,,"Avril, Statuts, IV, 100-103","Boeren, Anciens statuts, III, 398-402",https://gallica.bnf.fr/ark:/12148/bpt6k62644355,,,,,,,Hard Copy Scan,Yes,Additiones,Reviewed ,
